Name, Year, Runtime
The Godfather,(1972),175 min
Schindler's List,(1993),195 min
12 Angry Men,(1957),96 min
La vita è bella,(1997),116 min
Il buono  il brutto  il cattivo,(1966),161 min
The Shawshank Redemption,(1994),142 min
The Pursuit of Happyness,(2006),117 min
Shichinin no samurai,(1954),207 min
The Intouchables,(2011),112 min
Central do Brasil,(1998),110 min
Requiem for a Dream,(2000),102 min
A Beautiful Mind,(2001),135 min
Hachi: A Dog's Tale,(2009),93 min
Taken,(I) (2008),90 min
Yeopgijeogin geunyeo,(2001),137 min
Amores perros,(2000),154 min
The Shining,(1980),146 min
Apocalypto,(2006),139 min
Gladiator,(2000),155 min
Cast Away,(2000),143 min
The Dark Knight,(2008),152 min
The Pianist,(2002),150 min
Titanic,(1997),194 min
Bin-jip,(2004),88 min
Braveheart,(1995),178 min
It's a Wonderful Life,(1946),130 min
Bom yeoreum gaeul gyeoul geurigo bom,(2003),103 min
Alien,(1979),117 min
Salinui chueok,(2003),131 min
Vozvrashchenie,(2003),110 min
Ang-ma-reul bo-at-da,(2010),144 min
Bacheha-Ye aseman,(1997),89 min
Jodaeiye Nader az Simin,(2011),123 min
The Sixth Sense,(1999),107 min
Nae meorisokui jiwoogae,(2004),144 min
Okuribito,(2008),130 min
Wo de fu qin mu qin,(1999),89 min
Saving Private Ryan,(1998),169 min
The Bridge on the River Kwai,(1957),161 min
Ben-Hur,(1959),212 min
The Exorcist,(1973),122 min
El secreto de sus ojos,(2009),129 min
Léon,(1994),110 min
The Green Mile,(1999),189 min
Gran Torino,(2008),116 min
Kill Bill: Vol. 1,(2003),111 min
Jurassic Park,(1993),127 min
Terminator 2: Judgment Day,(1991),137 min
Back to the Future,(1985),116 min
Finding Nemo,(2003),100 min
